,1,2,3,4,5,6,7,8,9,10,11
1,,,,,,,,,,,
2,,P,P,P,P,P,P,P,P,P,P
3,,P,P,P,P,P,P,P,P,P,P
4,,P,P,P,P,P,P,P,P,P,P
5,,P,P,P,P,P,P,P,P,P,P
6,,P,P,P,P,P,P,P,P,P,P
7,,P,P,P,P,P,P,P,P,P,P
8,,P,P,P,P,P,P,P,P,P,P
9,,P,P,P,P,P,P,P,P,P,P
10,,P,P,P,P,P,P,P,P,P,P
11,,P,P,P,P,P,P,P,P,P,P
12,,P,P,Q,Q,Q,P,P,P,P,P
13,,Q,Q,Q,Q,Q,P,P,P,P,P
14,,Q,Q,Q,Q,Q,P,P,P,P,P
15,,Q,Q,Q,Q,Q,P,P,P,P,P
16,,Q,Q,Q,Q,Q,P,P,P,P,P
17,,Q,Q,Q,Q,Q,Q,P,Q,Q,P
18,,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
19,,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
20,,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
21,,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
